date,text
2016-01-06,商朝晖教授入选“国家百千万人才工程”并获“有突出贡献中青年专家”荣誉称号
2016-01-04,我校第二批结对帮扶困难村工作取得新进展
2016-01-04,我校心理学科博士后流动站李卉博士获得中国博士后科学基金第58批面上项目资助
2016-01-04,首届学生公寓文化节闭幕
2016-01-04,校学位评定委员会召开2015年第三次全体会议
2016-01-04,我校入选2015年“全国高校思想政治理论课教学科研团队择优支持计划”
2016-01-04,我校获批2015年度司法部项目
2015-12-31,2016年新年致辞
2015-12-16,“放飞梦想、施展才华、建设美丽天津”——清华北大等首都高校博士（博士后）受聘签约会在我...
2015-12-03,我校学生在韩国文学作品读后感征文大赛中获佳绩
2010-12-26,计算机信息管理论文
2010-12-26,航空航天产业建设规划
2010-12-26,航空航天产业走在高技术最前沿
2010-12-26,航空航天工业发展现状
2010-12-26,当前遗传毒理学的研究动态
2010-12-26,实践性教学方案
2010-12-26,构建肿瘤病理学资源库及多媒体网络教学系统
2016-04-01,校党委中心组（扩大）开展本学期第二次集体学习
2016-04-01,我校启动“名企HR进师大”系列活动
2016-04-01,我校召开2016年党风廉政建设工作会议
2016-03-31,国家社科基金重大项目开题论证暨学术研讨会在我校召开
2016-03-30,我校第二届教职工书画摄影艺术展开幕
2016-03-29,天津师范大学马季艺术研究会在我校成立
2016-03-29,我校召开第六届教职工代表大会暨第十次工会会员代表大会筹备会
2016-03-28,我校师生参加天津市义务植树活动
2016-03-25,李政涛教授来校作学术报告
2016-03-25,我校召开学习全国“两会”精神报告会
2016-03-25,我校教师宋红胜荣获“全国高校安全教育教学能力大赛”三等奖
2016-03-25,我校政府采购工作领导小组召开工作会议
2016-03-24,我校召开2015-2016学年第二学期教学督导工作会议
2016-03-24,我校第二届学生公寓文化节开幕
2016-03-23,我校郭明龙老师、杨金颖老师获评为“全国法律专业学位研究生教育优秀教师”和“全国法律专业...
2016-03-21,校党委中心组传达学习党风廉政建设工作有关会议精神
2016-03-21,我校召开关于开展博士、硕士学位授权学科和专业学位授权类别动态调整工作布置会议
2016-03-21,中国国家交响乐团《交响世界》走进双周音乐会
2016-03-18,我校召开安全稳定工作会议
2016-03-18,我校召开通讯信息员培训工作会议
2016-03-16,学生工作部门新学期工作交流部署会召开
2016-03-16,校园美术展首展——绘画艺术系水彩专业教学课业展开展
2016-03-11,张志清做客我校研究生学术前沿讲座
2016-03-11,全国征兵宣传教育进高校活动在我校启动
2016-03-11,梁福成副校长为教育科学学院学生主讲“开学第一课”
2016-03-10,我校校友会泰国总会在泰国曼松德大学举办周年纪念活动
2016-03-08,杨庆山书记会见我校全国“三八”红旗集体和天津市“三八”红旗手
2016-03-07,我校生命科学学院刘丽丽教授荣获天津市科技进步二等奖
2016-03-02,我校召开2016年新学期工作部署会
2016-02-24,我校化学学院王英副研究员发表国际知名期刊封面文章
2016-02-24,我校刘东华教授和杜淼教授进入2015年中国高被引学者榜单
2016-02-24,我校心理学研究人员参与完成的一项跨国联合研究受到国际媒体的广泛关注
2016-02-18,2015中国普通高校体育竞赛排名榜发布我校名列前茅
2016-02-02,英国赫尔大学孔子学院举行揭牌仪式
2016-02-02,校领导慰问寒假坚守岗位教职工及留宿学生
2016-01-27,我校试点的财政国库支付系统与高校财务管理系统对接工作顺利通过验收
2016-01-27,教育部教育管理信息中心领导来校考察调研
2016-01-25,孙金生教授团队、高景柱副教授入选“天津市人才发展特殊支持计划”
2016-01-25,学校纪委召开党风廉政监督员座谈会
2016-01-22,我校召开党委全委会审议2016年党政工作要点
2016-01-22,我校召开政协会前座谈会
2016-01-22,我校举办留学人员2016联谊活动
2016-01-22,统战部组织召开民主党派、团体负责人工作总结会
2016-01-21,华南师范大学郑雪教授来校作报告
2016-01-20,校领导慰问我校劳动模范和专家学者
2016-01-19,我校召开2016年特殊类型招生考试工作人员培训动员会
2016-01-18,天津市空间地理信息技术工程中心召开技术委员会第四次学术会议
2016-01-18,南开大学程鹏教授来我校讲学
2016-04-22,我校举办“扇心古韵版墨遗珍”馆藏古籍扇面展暨古籍修复体验活动
2016-04-22,天津市高校辅导员“大学生思想政治教育工作创新与实践”培训班在我校举行
2016-04-21,学生公寓举行应急疏散演练
2016-04-21,加拿大联邦政府国家研究院首席科学家张久俊教授做客求是讲坛
2016-04-20,我校召开2016年关心下一代工作会议
2016-04-19,侯建新教授出席国务院学位委员会世界史学科评议组首次会议
2016-04-18,张莹莹在2016南京浦口国际女子半程马拉松赛摘金
2016-04-18,我校双周音乐会迎来青年教师专场
2016-04-18,我校召开教学院长工作会议
2016-04-18,我校成为首批天津市中国特色社会主义理论体系研究中心基地
2016-04-15,我校召开2016年政府采购管理工作会议
2016-04-15,莫雷教授做客我校本学期首场求是讲坛
2016-04-15,我校召开学风建设工作表彰暨加强课堂纪律专项工作推动会
2016-04-15,我校召开研究生导师思想政治教育工作专题会
2016-04-13,市委统战部来校调研
2016-04-13,我校8名教师获国家公派高研高访（博士后）资助
2016-04-12,第二届全国心理学专业《实验心理学》任课教师培训班在我校开班
2016-04-08,我校学生赵福建勇夺2016年全国竞走大奖赛冠军
2016-04-08,我校召开2016年本科教学工作会议
2016-04-08,教育科学学院第四届“新视野”学术文化节开幕
2016-04-07,我校召开首届赴台研究生交流总结暨2016年赴台交流工作说明会
2016-04-05,我校教师陈娜获霍英东教育基金会第十五届高校青年教师奖
2016-04-05,我校史瑞杰教授领衔获批中国特色社会主义理论体系研究中心重大项目
2016-04-05,2016届毕业生春季就业洽谈会举行
2016-04-05,双周音乐会迎来研究生专场
2016-04-01,校党委中心组（扩大）开展本学期第二次集体学习
2016-04-01,我校启动“名企HR进师大”系列活动
2016-04-01,我校召开2016年党风廉政建设工作会议
2016-03-31,国家社科基金重大项目开题论证暨学术研讨会在我校召开
2016-03-30,我校第二届教职工书画摄影艺术展开幕
2016-03-29,天津师范大学马季艺术研究会在我校成立
2016-03-29,我校召开第六届教职工代表大会暨第十次工会会员代表大会筹备会
2016-03-28,我校师生参加天津市义务植树活动
2016-03-25,李政涛教授来校作学术报告
2016-03-25,我校召开学习全国“两会”精神报告会
2016-03-25,我校教师宋红胜荣获“全国高校安全教育教学能力大赛”三等奖
2016-03-25,我校政府采购工作领导小组召开工作会议
2016-03-24,我校召开2015-2016学年第二学期教学督导工作会议
2016-03-24,我校第二届学生公寓文化节开幕
2016-03-23,我校郭明龙老师、杨金颖老师获评为“全国法律专业学位研究生教育优秀教师”和“全国法律专业...
2016-03-21,校党委中心组传达学习党风廉政建设工作有关会议精神
2016-03-21,我校召开关于开展博士、硕士学位授权学科和专业学位授权类别动态调整工作布置会议
